name,full_name,modality,tasks,num_samples,size_gb,license,license_family,download_type,download_url,geography,scanner_device,age_range,sex_distribution,ethnicity,num_patients
irfdrd,Iraqi Retinal Fundus Diabetic Retinopathy Dataset,fundus,classification|grading,,,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/12552326,,,,,,
jichi,Jichi Medical University Diabetic Retinopathy Dataset,fundus,grading|classification,9939.0,10.0,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.4879853,,,,,,
maples_dr,MAPLES-DR: Montreal Annotation Project for DR,fundus,segmentation|grading|classification,198.0,0.5,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.24328660,Canada (Montréal — Hôpital Maisonneuve-Rosemont + Université de Montréal),Topcon NW400 and Topcon TRC-NW8 (45° non-mydriatic),18+ years (diabetic patients),not reported,mixed (Montréal population),198.0
mfiddr,MFIDDR: Multi-Field Imaging Dataset for Diabetic Retinopathy,fundus,grading|classification|multilabel,34452.0,30.0,MIT (form-gated download),mit,manual,https://github.com/mfiddr/MFIDDR,,,,,,
mshf,Multi-Source Heterogeneous Fundus Dataset for Image Quality Assessment,fundus,quality_assessment|classification,,1.06,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.21507564,,,,,,
msila_fundus_dr,M'Sila Retinal Fundus Dataset for Diabetic Retinopathy Classification,fundus,classification|grading,1335.0,1.47,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/19169587,,,,,,
mured,MuReD: Multi-label Retinal Diseases Dataset,fundus,multilabel|classification,2208.0,2.0,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/pc4mb3h8hz/1,,,,,,
myopic_regression_fundus,Myopic Regression after Corneal Refractive Surgery Fundus Sample,fundus,regression|classification,330.0,0.2,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/k34rvfw3dg/2,,,,,,
odir2019,ODIR-2019: Ocular Disease Intelligent Recognition,fundus,multilabel|classification,8000.0,3.5,CC BY-SA 4.0,cc-by-sa,kaggle,https://www.kaggle.com/datasets/andrewmvd/ocular-disease-recognition-odir5k,China (multi-centre — ODIR Challenge 2019),Various (fundus cameras not specified uniformly),not reported,not reported,Chinese,8000.0
papila,PAPILA: Glaucoma Fundus Dataset with Clinical Data,fundus,classification|segmentation,488.0,0.4,CC BY 4.0,cc-by,direct,https://zenodo.org/records/6379970,"Spain (Alcorcón, Murcia — two ophthalmology departments)",Topcon TRC-NW8 (45° non-mydriatic),not reported,not reported,Spanish,488.0
paraguay_dr,Paraguay Color Fundus DR Dataset,fundus,grading|classification,757.0,0.5,CC BY 4.0,cc-by,zenodo,https://zenodo.org/record/4647952,,,,,,
rao_fundus,RAO Retinal Artery Occlusion Fundus Photography Dataset,fundus,classification,,,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/5428684j44/1,,,,,,
reta_benchmark,RETA Benchmark for Retinal Vascular Tree Analysis,fundus,segmentation|vessel_analysis,81.0,0.84,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.16960855,,,,,,
retina_age_analysis,Retina Age Analysis,fundus,regression,9857.0,1.0,MIT,mit,huggingface,https://huggingface.co/datasets/ramankamran/retina-age-analysis,,,,,,
retinal_vessel_robustness,Natural Robustness Benchmark for Retinal Vessel Segmentation,fundus,segmentation,,8.15,MIT,mit,zenodo,https://zenodo.org/records/12659652,,,,,,
rfmid,RFMiD: Retinal Fundus Multi-disease Image Dataset,fundus,multilabel|classification,3200.0,1.5,CC BY-SA 4.0,cc-by-sa,kaggle,https://www.kaggle.com/datasets/andrewmvd/retinal-disease-classification,India (Pune — Nanded and Icare Eye Institute),Topcon TRC-50DX (45°) and Kowa VX-10α,not reported,not reported,South Asian (Indian),3200.0
rfmid2,RFMiD 2.0 Auxiliary Multi-Disease Fundus Dataset,fundus,classification|multilabel,860.0,0.5,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/7505822,,,,,,
riga_plus,RIGA+ Domain Adaptation Dataset,fundus,segmentation,,,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/6325549,,,,,,
rimone_dl,RIM-ONE DL,fundus,classification,485.0,0.5,CC BY 4.0,cc-by,kaggle,https://www.kaggle.com/datasets/orvile/rim-one-retinal-dataset-for-assessing-glaucoma,"Spain (Canary Islands, Huelva, Alicante — three hospitals)","Nikon D3, Canon EOS (various)",not reported,not reported,Spanish,485.0
rop_ostrava,Retinal Image Dataset of Infants and ROP (Ostrava),fundus,classification,6004.0,5.0,CC BY 4.0,cc-by,kaggle,https://www.kaggle.com/datasets/jananowakova/retinal-image-dataset-of-infants-and-rop,,,,,,
rop_synthetic_mendeley,Synthetic Medical Images for ROP Diagnosis,fundus,classification|segmentation,5842.0,2.0,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/fscyyhg6vt/1,,,,,,
rop_uwf_intelligent,Fundus Dataset for Intelligent ROP System,fundus,grading|classification,1099.0,4.0,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.25514449,,,,,,
smdg,SMDG-19: Standardized Multi-channel Glaucoma Benchmark,fundus,classification|segmentation,12449.0,5.0,CC0 1.0 (Public Domain),cc0,kaggle,https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,,,,,,
sustech_sysu,SUSTech-SYSU Diabetic Retinopathy + Exudate Dataset,fundus,grading|segmentation|classification,1219.0,3.0,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.12570770,,,,,,
toxofundus,ToxoFundus: Ocular Toxoplasmosis Fundus Dataset,fundus,classification,412.0,0.2,CC BY 4.0,cc-by,kaggle,https://www.kaggle.com/datasets/nafin59/ocular-toxoplasmosis-fundus-images-dataset,Brazil (São Paulo — Federal University of São Paulo / UNIFESP),Topcon TRC-50DX and Zeiss Visucam Pro NM,not reported,not reported,Brazilian,412.0
trend2_fundus,TREND2 Chronic Disease Portable Fundus Dataset,fundus,segmentation|regression,28.0,0.1,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/7678656,,,,,,
trend_fundus,TREND Portable Fundus Microvascular Network Dataset,fundus,segmentation|regression,82.0,0.1,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/4521044,,,,,,
casia_iris_v4,CASIA-IrisV4 Iris Image Database,iris_biometrics,biometric_recognition|classification,54601.0,1.86,Public domain; source access terms apply,cc0,manual,https://hycasia.github.io/dataset/casia-irisv4/,,,,,,
data_oct_fundus_glaucoma,Data on OCT and Fundus Images,multimodal,classification|grading,50.0,0.1,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/2rnnz5nz74/2,,,,,,
dme_vqa,Diabetic Macular Edema Visual Question Answering Dataset,multimodal,visual_question_answering|classification,,0.1,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/6784358,,,,,,
dme_vqa_logical,DME VQA Dataset with Logical Relations,multimodal,visual_question_answering,,0.1,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/7777849,,,,,,
dryad_cornea_oct_pentacam,Corneal OCT and Pentacam Tomography Dataset,multimodal,segmentation|measurement|registration,,0.392,CC0 1.0,cc0,dryad,https://doi.org/10.5061/dryad.tht76hf0c,,,,,,
