record_id,canonical_name,modalities,download_type,selection,estimated_size_gb,existing_file_count,existing_recognized,route_check_result,acquisition_status,transfer_started,downloaded_file_count,downloaded_size_bytes,load_status,load_split,loaded_sample_count,sample_path_exists,image_decode_status,scratch_cleanup_status,record_completed
cataracts2017,CATARACTS 2017: Surgical Tool Detection Challenge,surgical_video,manual,excluded_surgical_video,50.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
cavri,CAVRI: Computer Analysis of VitreoRetinal Interface Dataset,oct,manual,preflight_blocked,3.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
chaksu,CHAKSU: Multi-Device Glaucoma Fundus Dataset,fundus,figshare,eligible_download,5.0,0,False,not_applicable,completed,True,66415,241865635595,not_implemented,all,,,not_applicable,removed,True
chase_db1,CHASE_DB1: Child Heart and Health Study in England,fundus,manual,preflight_blocked,0.05,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
chronic_corneal_disorders,Chronic Corneal Disorders Clinical Dataset,tabular,mendeley,excluded_known_platform,0.01,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
coph100,COph100: Comprehensive Infant Fundus Image Registration Dataset (RIDIRP),fundus,figshare,eligible_download,1.0,0,False,not_applicable,completed,True,1300,259752680,not_implemented,all,,,not_applicable,removed,True
corn1500,CORN-1500: Corneal Nerve Tortuosity Grading,confocal,manual,preflight_blocked,0.2,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
corn_collection,CORN: Corneal Confocal Microscope Dataset Collection,confocal,manual,preflight_blocked,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
corn_pro,CORN Pro: Corneal Nerve Confocal Microscopy Dataset,confocal,manual,preflight_blocked,0.5,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
corneal_curvature_fundus,Corneal Curvature Prediction Using Fundus Photography,fundus,mendeley,excluded_known_platform,0.1,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
corneal_epithelium_confocal,Keratoconus Corneal Epithelium Confocal Fluorescence Dataset,confocal,mendeley,excluded_known_platform,0.1,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
corneal_parameters_kc,Corneal Parameters Keratoconus Study,tabular,mendeley,excluded_known_platform,0.01,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
corneal_tomography_iol,Multi-Parameter Corneal Tomography Dataset for IOL Selection,tabular,mendeley,excluded_known_platform,0.01,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
cornorb,CornOrb: Orbscan Corneal Topography and Clinical Annotations,corneal_topography,zenodo,excluded_known_platform,0.68,5630,True,not_applicable,not_run_excluded_or_blocked,False,,,not_implemented,all,,,not_applicable,,True
csc_fundus_segmentation,Central Serous Chorioretinopathy Fundus Segmentation Dataset,fundus,mendeley,excluded_known_platform,0.5,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
csdi,CSDI: Cataract Severity Diagnostic Image Dataset,fundus|text,huggingface,excluded_known_platform,1.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
data_oct_fundus_glaucoma,Data on OCT and Fundus Images,fundus|oct,mendeley,excluded_known_platform,0.1,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
ddr,DDR: Diabetic Retinopathy Detection & Grading,fundus,gdrive,route_check_only,4.0,6846,True,passed_landing_page,not_run_route_check_only,False,,,passed,train,2729,True,passed,,True
deepdrid,DeepDRiD: Diabetic Retinopathy Grading and Image Quality Dataset,fundus|uwf_fundus,zenodo,excluded_known_platform,3.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
deepeyenet,DeepEyeNet (DEN): Fundus Report Generation Dataset,fundus|text,manual,preflight_blocked,5.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
dme_vqa,Diabetic Macular Edema Visual Question Answering Dataset,fundus|text,zenodo,excluded_known_platform,0.1,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
dme_vqa_logical,DME VQA Dataset with Logical Relations,fundus|text,zenodo,excluded_known_platform,0.1,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
dr_arranged,Diabetic Retinopathy Arranged Dataset (Tianchi 93926),fundus,manual,preflight_blocked,8.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
drac22,DRAC 2022: Diabetic Retinopathy Analysis Challenge,octa,zenodo,excluded_known_platform,0.3,1508,True,not_applicable,not_run_excluded_or_blocked,False,,,passed,train,1504,True,passed,,True
dridb,DRiDB: Diabetic Retinopathy Image Database,fundus,manual,preflight_blocked,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
drions_db,DRIONS-DB: Digital Retinal Images for Optic Nerve Segmentation,fundus,direct,eligible_download,0.2,0,False,not_applicable,completed,True,1,2658526,not_implemented,all,,,not_applicable,removed,True
drishti_gs,DRISHTI-GS: Optic Disc and Cup Segmentation,fundus,kaggle,excluded_known_platform,0.8,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
drive,DRIVE: Digital Retinal Images for Vessel Extraction,fundus,manual,preflight_blocked,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
drtid,DRTiD: Diabetic Retinopathy Two-field Image Dataset,fundus,manual,preflight_blocked,3.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
dryad_aoslo_rpe,AOSLO RPE Cell Morphometry and Cone Mosaic Dataset,adaptive_optics,dryad,eligible_download,0.084,0,False,not_applicable,completed,True,20,84397437,not_implemented,all,,,not_applicable,removed,True
dryad_cornea_oct_pentacam,Corneal OCT and Pentacam Tomography Dataset,oct|corneal_topography,dryad,preflight_blocked,0.392,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
dryad_functional_oct_alzheimer,Functional OCT Retinal Response Dataset,oct,dryad,preflight_blocked,2.058,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
dryad_gcc_glaucoma,Glaucoma Ganglion Cell Complex Clinical Dataset,tabular,dryad,eligible_download,1.3e-05,0,False,not_applicable,completed,True,2,12543,not_implemented,all,,,not_applicable,removed,True
dryad_glaucoma_rnfl_vf,RNFL and Visual-Field Glaucoma Diagnosis Dataset,tabular|visual_field,dryad,eligible_download,3.2e-05,0,False,not_applicable,completed,True,1,12461,not_implemented,all,,,not_applicable,removed,True
dryad_namd_oct_quant,Moorfields nAMD Quantitative OCT Biomarker Dataset,tabular|oct,dryad,eligible_download,0.0032,0,False,not_applicable,completed,True,2,707701,not_implemented,all,,,not_applicable,removed,True
dryad_namd_visual_prediction,Moorfields nAMD Visual-Change Prediction Dataset,tabular|oct,dryad,eligible_download,0.0016,0,False,not_applicable,completed,True,3,1498898,not_implemented,all,,,not_applicable,removed,True
dryad_retinal_vein_cannulation,Autonomous Retinal Vein Cannulation Data and Code,surgical_video|oct,dryad,excluded_surgical_video,7.511,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
dryad_subretinal_robot,Head-Mounted Robot Subretinal Injection Dataset,surgical_video|oct|tabular,dryad,excluded_surgical_video,2.481,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
dryad_uveal_melanoma_coog2,COOG2.1 Uveal Melanoma Prognostic Dataset,omics,dryad,eligible_download,8.4e-05,0,False,not_applicable,completed,True,2,84124,not_implemented,all,,,not_applicable,removed,True
duke_amd_chiu,Duke AMD Pathology OCT Segmentation Dataset,oct,manual,preflight_blocked,0.54,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
duke_chiu_boe,Duke OCT DME Dataset (Chiu BOE 2014),oct,direct,excluded_known_platform_dependency,0.1,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
duke_rpedc,Duke RPE-Drusen Complex OCT Dataset,oct,manual,preflight_blocked,20.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
e_ophtha,E-ophtha (EX + MA): Exudate and Microaneurysm Segmentation,fundus,kaggle,excluded_known_platform,1.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
eed_astig,EED-Astig Pediatric External-Eye Dataset,external_eye|tabular,manual,preflight_blocked,0.42,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
erdes,ERDES: Ocular Ultrasound Video Benchmark (Retinal Detachment + Macula),ocular_ultrasound,manual,preflight_blocked,5.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
