record_id,dataset_doi,source_version,expected_file_count,expected_bytes,inspection_level,complete_deposit_downloaded_for_structure_review,acquired_file_count_after_extraction,acquired_bytes_after_extraction,file_extension_counts_json,local_files_retained
dryad_optic_neuritis_metacontrast,10.5061/dryad.cp4j7,1,1,309018,complete_official_file_listing,False,,,"{"".zip"": 1}",False
dryad_pediatric_corneal_endothelium,10.5061/dryad.hhmgqnkjc,5,2,19455,complete_official_file_listing,False,,,"{"".txt"": 1, "".xlsx"": 1}",False
dryad_pediatric_myopia_longitudinal,10.5061/dryad.d4mb3pn,3,1,155656,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_pediatric_optical_quality,10.5061/dryad.bm8nv,1,1,53725,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_pediatric_secondary_iol,10.5061/dryad.5t9d1,1,1,21814,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_pg4f4qrwf,10.5061/dryad.pg4f4qrwf,4,5,79049,complete_official_file_listing,False,,,"{"".csv"": 1, "".md"": 1, "".txt"": 3}",False
dryad_pk0p2ngzh,10.5061/dryad.pk0p2ngzh,6,12,37594711764,complete_official_file_listing,False,,,"{"".md"": 1, "".xlsx"": 1, "".zip"": 10}",False
dryad_pk31jt2,10.5061/dryad.pk31jt2,1,1,64398,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_pnvx0k6hv,10.5061/dryad.pnvx0k6hv,3,1,177499,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_preeclampsia_ocular_octa,10.5061/dryad.j0zpc86kg,4,2,52502,complete_official_file_listing,False,,,"{"".md"": 1, "".sav"": 1}",False
dryad_primate_on_dsgc,10.5061/dryad.47d7wm3kx,4,13,64655258350,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 12}",False
dryad_prpf31_gene_augmentation,10.5061/dryad.bcc2fqzf1,6,39,265506337,complete_official_file_listing,False,,,"{"".gz"": 38, "".txt"": 1}",False
dryad_pvd_diagnostic_oct,10.5061/dryad.h44j0zpnp,8,2,68301,complete_official_file_listing,False,,,"{"".md"": 1, "".xls"": 1}",False
dryad_pzgmsbcfw,10.5061/dryad.pzgmsbcfw,9,2,5116953,complete_official_file_listing,False,,,"{"".csv"": 1, "".r"": 1}",False
dryad_pzgmsbcmk,10.5061/dryad.pzgmsbcmk,3,13,873473805,complete_official_file_listing,False,,,"{"".txt"": 1, "".xlsx"": 12}",False
dryad_q6rv0kz3,10.7272/q6rv0kz3,6,19,692655940,complete_official_file_listing,False,,,"{"".html"": 9, "".mat"": 9, "".md"": 1}",False
dryad_q6w37t8b,10.7272/q6w37t8b,1,6,15610092,complete_official_file_listing,False,,,"{"".mtx"": 2, "".tsv"": 4}",False
dryad_q83bk3jnw,10.5061/dryad.q83bk3jnw,4,7,4289591,complete_official_file_listing,False,,,"{"".md"": 1, "".txt"": 1, "".xlsx"": 5}",False
dryad_qfttdz0dr,10.5061/dryad.qfttdz0dr,3,1,59357,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_r4xgxd2nt,10.5061/dryad.r4xgxd2nt,6,6,3340308791,complete_official_file_listing,False,,,"{"".gif"": 1, "".md"": 1, "".mp4"": 1, "".zip"": 3}",False
dryad_r7s04,10.5061/dryad.r7s04,1,1,1253376,complete_official_file_listing,False,,,"{"".xls"": 1}",False
dryad_r7sqv9sqs,10.5061/dryad.r7sqv9sqs,4,11,139241181282,complete_official_file_listing,False,,,"{"".gz"": 8, "".map"": 1, "".md"": 1, "".ped"": 1}",False
dryad_rao_multiomics,10.5061/dryad.98sf7m0wt,4,4,19138637,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 3}",False
dryad_ravi_cataract_outcomes,10.5061/dryad.4p55b,1,1,1216284,complete_official_file_listing,False,,,"{"".dta"": 1}",False
dryad_retinal_explant_metabolomics,10.5061/dryad.c2fqz61hr,4,2,9581295,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 1}",False
dryad_retinal_prosthesis_navigation,10.5061/dryad.c6147,1,1,42615,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_retinal_pufa_aging_mouse,10.5061/dryad.gxd25480h,5,14,13798287,complete_official_file_listing,False,,,"{"".csv"": 11, "".md"": 1, "".txt"": 2}",False
dryad_retinal_vasomotion,10.5061/dryad.163mp,1,1,1111189442,complete_official_file_listing,False,,,"{"".mat"": 1}",False
dryad_retinal_vein_cannulation,10.5061/dryad.3ffbg79zd,5,7,7511466011,complete_official_file_listing,False,,,"{"".md"": 1, "".txt"": 1, "".zip"": 5}",False
dryad_rhesus_maculopathy_metabolomics,10.5061/dryad.7pvmcvf8d,8,2,659872,complete_official_file_listing,False,,,"{"".md"": 1, "".xlsx"": 1}",False
dryad_rn38r,10.5061/dryad.rn38r,1,1,17348,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_rn8pk0p70,10.5061/dryad.rn8pk0p70,11,3,142972,complete_official_file_listing,False,,,"{"".docx"": 1, "".dta"": 1, "".md"": 1}",False
dryad_rn8pk0pdp,10.5061/dryad.rn8pk0pdp,6,2,21964,complete_official_file_listing,False,,,"{"".txt"": 1, "".xlsx"": 1}",False
dryad_rn8pk0pmm,10.5061/dryad.rn8pk0pmm,3,38,33285472018,complete_official_file_listing,False,,,"{"".gz"": 36, "".md"": 1, "".zip"": 1}",False
dryad_rod_cone_dystrophy_genes,10.5061/dryad.59zw3r2b7,7,3,69576,complete_official_file_listing,False,,,"{"".csv"": 1, "".txt"": 2}",False
dryad_rop_plane_wave_doppler,10.5061/dryad.612jm649r,4,2,33701,complete_official_file_listing,False,,,"{"".md"": 1, "".sav"": 1}",False
dryad_rpgr_cone_rod_wes,10.5061/dryad.5qfttdz5d,2,2,4478935663,complete_official_file_listing,False,,,"{"".gz"": 2}",False
dryad_rs2qp,10.5061/dryad.rs2qp,2,12,15143685677,complete_official_file_listing,False,,,"{"".mat"": 6, "".pdf"": 6}",False
dryad_rv15dv4bv,10.5061/dryad.rv15dv4bv,5,104,13737601388,complete_official_file_listing,False,,,"{"".md"": 1, "".nd2"": 103}",False
dryad_s1rn8pkhb,10.5061/dryad.s1rn8pkhb,6,2,7907110,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 1}",False
dryad_sbcc2fr6n,10.5061/dryad.sbcc2fr6n,7,2,3176392,complete_official_file_listing,False,,,"{"".pdf"": 1, "".xlsx"": 1}",False
dryad_sbcc2fr7r,10.5061/dryad.sbcc2fr7r,8,2,301336,complete_official_file_listing,False,,,"{"".md"": 1, "".xls"": 1}",False
dryad_sf7m0cggh,10.5061/dryad.sf7m0cggh,9,5,117131,complete_official_file_listing,False,,,"{"".md"": 1, "".xlsx"": 4}",False
dryad_shanghai_myopia_2014_2018,10.5061/dryad.c2fqz615c,4,2,2318884,complete_official_file_listing,False,,,"{"".docx"": 1, "".xls"": 1}",False
dryad_sn02v6x2x,10.5061/dryad.sn02v6x2x,4,1,253440,complete_official_file_listing,False,,,"{"".xls"": 1}",False
dryad_spata7_canine_retinal_degeneration,10.5061/dryad.3tx95x6n6,4,5,34380282367,complete_official_file_listing,False,,,"{"".gz"": 2, "".md"": 1, "".tfam"": 1, "".tped"": 1}",False
dryad_stargardt_wes,10.5061/dryad.0qk7f,1,1,284937,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_subretinal_fibrosis_adora2a,10.5061/dryad.hx3ffbgmv,6,45,10972741,complete_official_file_listing,False,,,"{"".md"": 1, "".scan"": 20, "".txt"": 1, "".wiff"": 20, "".xlsx"": 3}",False
dryad_subretinal_robot,10.5061/dryad.w0vt4b91w,4,2,2480715881,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 1}",False
dryad_taizhou_cataract_outdoors,10.5061/dryad.gt410,1,1,1358848,complete_official_file_listing,False,,,"{"".xls"": 1}",False
dryad_tb2rbp0cq,10.5061/dryad.tb2rbp0cq,4,358,5051903547,complete_official_file_listing,False,,,"{"".md"": 1, "".tif"": 357}",False
dryad_tb_uveitis_ifn,10.5061/dryad.8jk03jd,1,1,52469,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_tdz08kq8t,10.5061/dryad.tdz08kq8t,8,22,2018076463,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 21}",False
dryad_tmpg4f4vb,10.5061/dryad.tmpg4f4vb,5,1,17642,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_toric_iol_incision,10.5061/dryad.01n20,1,1,65825,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_uveal_melanoma_coog2,10.5061/dryad.n8pk0p340,2,2,84124,complete_official_file_listing,False,,,"{"".csv"": 1, "".md"": 1}",False
dryad_uveitis_vitreous_biomarkers,10.5061/dryad.597ch,1,1,74836,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_v6wwpzh1b,10.5061/dryad.v6wwpzh1b,4,2,14771,complete_official_file_listing,False,,,"{"".md"": 1, "".xlsx"": 1}",False
dryad_v9p0b,10.5061/dryad.v9p0b,1,1,34844,complete_official_file_listing,False,,,"{"".sav"": 1}",False
dryad_vkh_apoe,10.5061/dryad.37pvmcvzx,3,5,68879258875,complete_official_file_listing,False,,,"{"".csv"": 2, "".md"": 1, "".zip"": 2}",False
dryad_vq83bk3s8,10.5061/dryad.vq83bk3s8,5,910,6459809695,complete_official_file_listing,False,,,"{"".abf"": 163, "".csv"": 24, "".mat"": 421, "".tif"": 90, "".txt"": 211, "".xlsx"": 1}",False
dryad_vx0k6djwf,10.5061/dryad.vx0k6djwf,5,5,1599090854,complete_official_file_listing,False,,,"{"".h5"": 4, "".md"": 1}",False
dryad_w3r228143,10.5061/dryad.w3r228143,5,2,9123577630,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 1}",False
dryad_wdbrv15rj,10.5061/dryad.wdbrv15rj,5,19,212240699756,complete_official_file_listing,False,,,"{"".gz"": 16, "".tfam"": 1, "".tped"": 1, "".txt"": 1}",False
dryad_wstqjq2n5,10.5061/dryad.wstqjq2n5,4,4,310559523,complete_official_file_listing,False,,,"{"".csv"": 2, "".txt"": 1, "".zip"": 1}",False
dryad_x95x69pmq,10.5061/dryad.x95x69pmq,5,20,5658900002,complete_official_file_listing,False,,,"{"".nd2"": 19, "".rtf"": 1}",False
dryad_xgxd254pk,10.5061/dryad.xgxd254pk,5,2,42482,complete_official_file_listing,False,,,"{"".md"": 1, "".xlsx"": 1}",False
dryad_xpnvx0kb6,10.5061/dryad.xpnvx0kb6,9,118,453212274,complete_official_file_listing,False,,,"{""._fig1-degenerated_area_quantied"": 1, "".csv"": 10, "".docx"": 4, "".pzfx"": 14, "".tif"": 88, "".xlsx"": 1}",False
dryad_xwdbrv1kd,10.5061/dryad.xwdbrv1kd,7,11,199231877370,complete_official_file_listing,False,,,"{"".gz"": 8, "".md"": 1, "".tfam"": 1, "".tped"": 1}",False
dryad_young_adult_uv_transmission,10.5061/dryad.hg000c2,1,1,11730,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_z08kprrk3,10.5061/dryad.z08kprrk3,8,5,26446366374,complete_official_file_listing,False,,,"{"".gz"": 2, "".md"": 1, "".tfam"": 1, "".tped"": 1}",False
dryad_z08kprrk6,10.5061/dryad.z08kprrk6,4,7,123431491592,complete_official_file_listing,False,,,"{"".gz"": 4, "".md"": 1, "".tfam"": 1, "".tped"": 1}",False
dryad_z8w9ghx9c,10.5061/dryad.z8w9ghx9c,3,1,47104,complete_official_file_listing,False,,,"{"".xls"": 1}",False
dryad_z8w9ghx9f,10.5061/dryad.z8w9ghx9f,4,15,384697,complete_official_file_listing,False,,,"{"".xlsx"": 15}",False
dryad_z8w9ghxpp,10.5061/dryad.z8w9ghxpp,11,47,4159288366,complete_official_file_listing,False,,,"{"".md"": 1, "".pzfx"": 23, "".tif"": 9, "".zip"": 14}",False
dryad_zebrafish_crystallin_lens,10.5061/dryad.f4qrfj730,4,2,4451422309,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 1}",False
dryad_zebrafish_rpe_phagocytosis,10.5061/dryad.76hdr7t64,3,2,6627585574,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 1}",False
dryad_zebrafish_thrb_photoreceptors,10.5061/dryad.msbcc2fvr,2,8,543268,complete_official_file_listing,False,,,"{"".xlsx"": 8}",False
dryad_zkh1893nt,10.5061/dryad.zkh1893nt,7,32,130554606106,complete_official_file_listing,False,,,"{"".csv"": 1, "".md"": 1, "".zip"": 30}",False
dryad_zs7h44jd9,10.5061/dryad.zs7h44jd9,4,2,1795641506,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 1}",False
